T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
19.3418,NaN,12.65416,NaN,12.65436,NaN,38.88976,NaN,35.24828,NaN,35.22672,NaN,32.29788,NaN,19.43824,NaN,24.89964,NaN
19.3454,NaN,12.65672,NaN,12.65676,NaN,38.91792,NaN,35.29248,NaN,35.23156,NaN,32.38936,NaN,20.23996,NaN,25.97648,NaN
19.35172,NaN,12.66016,NaN,12.65892,NaN,38.92164,NaN,35.3042,NaN,35.23828,NaN,33.36784,NaN,20.41932,NaN,25.98424,NaN
19.35556,NaN,12.66292,NaN,12.66184,NaN,38.9446,NaN,35.30844,NaN,35.24736,NaN,33.9822,NaN,21.43188,NaN,25.9874,NaN
19.35852,NaN,12.66524,NaN,12.66424,NaN,41.64756,NaN,35.321,NaN,35.25212,NaN,34.32128,NaN,22.07524,NaN,25.99788,NaN
19.36092,NaN,12.66984,NaN,12.66772,NaN,41.65248,NaN,35.3474,NaN,35.25452,NaN,35.20712,NaN,22.6362,NaN,26.00052,NaN
19.3652,NaN,12.67216,NaN,12.67008,NaN,41.66028,NaN,38.68476,NaN,35.2652,NaN,35.212,NaN,22.64156,NaN,26.00376,NaN
19.37076,NaN,12.67456,NaN,12.67308,NaN,41.66568,NaN,38.68888,NaN,35.28828,NaN,35.21788,NaN,22.6442,NaN,26.0088,NaN
19.37404,NaN,12.67932,NaN,12.6774,NaN,41.66976,NaN,38.69112,NaN,35.30692,NaN,35.22,NaN,22.65404,NaN,26.0114,NaN
19.37676,NaN,12.68176,NaN,12.67972,NaN,41.67584,NaN,38.69388,NaN,35.309,NaN,35.22496,NaN,22.66548,NaN,26.0152,NaN
19.37956,NaN,12.68872,NaN,12.683,NaN,41.67932,NaN,38.70396,NaN,35.31632,NaN,35.231,NaN,22.6688,NaN,26.02632,NaN
19.38528,NaN,12.69724,NaN,12.68868,NaN,41.69416,NaN,38.70896,NaN,35.32096,NaN,35.23528,NaN,22.67156,NaN,26.0412,NaN
19.3926,NaN,12.70116,NaN,12.69092,NaN,41.69744,NaN,38.71256,NaN,35.33372,NaN,35.25456,NaN,22.67568,NaN,26.04424,NaN
19.3986,NaN,12.70684,NaN,12.69364,NaN,41.70124,NaN,38.7278,NaN,35.34224,NaN,35.26564,NaN,22.6806,NaN,26.04928,NaN
19.408,NaN,12.7132,NaN,12.69656,NaN,41.71676,NaN,38.73212,NaN,35.35484,NaN,35.27912,NaN,22.68516,NaN,26.05976,NaN
19.41336,NaN,12.72112,NaN,12.69868,NaN,41.7246,NaN,38.73908,NaN,35.37488,NaN,35.28648,NaN,22.68736,NaN,26.066,NaN
19.42164,NaN,12.72492,NaN,12.70248,NaN,41.7314,NaN,38.74148,NaN,35.40236,NaN,35.32672,NaN,22.69292,NaN,26.08156,NaN
20.02872,NaN,12.72708,NaN,12.7046,NaN,41.74104,NaN,38.74584,NaN,35.44412,NaN,35.34632,NaN,22.69512,NaN,26.09164,NaN
20.93156,NaN,12.73024,NaN,12.7114,NaN,41.74816,NaN,38.75372,NaN,35.44696,NaN,35.35916,NaN,22.69868,NaN,26.11976,NaN
